IMAGEM,VP,VN,FP,FN,Acurácia,Sobreposição,Sensibilidade,Especificidade  
kmeans_400_cinza_Im037,36460,11813,110159,1568,30.17,24.60,95.88,9.69, 
kmeans_400_cinza_Im019,41934,10345,104465,3256,32.67,28.02,92.79,9.01, 
kmeans_800_cinza_Im029,194045,63030,376724,6201,40.17,33.63,96.90,14.33, 
kmeans_800_cinza_Im067,189869,63321,368507,18303,39.56,32.92,91.21,14.66, 
kmeans_400_rgb_Im004,52980,8971,95760,2289,38.72,35.08,95.86,8.57, 
kmeans_400_rgb_Im027,43560,16650,92507,7283,37.63,30.39,85.68,15.25, 
kmeans_800_rgb_Im019,192061,17159,416869,13911,32.69,30.84,93.25,3.95, 
kmeans_400_rgb_Im022,38491,6996,109073,5440,28.43,25.16,87.62,6.03, 
kmeans_800_rgb_Im003,188888,26563,406276,18273,33.66,30.79,91.18,6.14, 
kmeans_400_cinza_Im083,40904,20814,88482,9800,38.57,29.39,80.67,19.04, 
kmeans_400_rgb_Im025,21958,20342,115919,1781,26.44,15.72,92.50,14.93, 
kmeans_400_cinza_Im066,42650,22116,91314,3920,40.48,30.93,91.58,19.50, 
kmeans_400_cinza_Im072,28011,15095,88276,28618,26.94,19.33,49.46,14.60, 
kmeans_800_rgb_Im062,129606,23976,447606,38812,24.00,21.04,76.95,5.08, 
kmeans_800_cinza_Im006,146366,115218,357381,21035,40.87,27.89,87.43,24.38, 
kmeans_800_cinza_Im014,109851,41582,484411,4156,23.66,18.36,96.35,7.91, 
kmeans_400_cinza_Im027,39006,21204,92700,7090,37.63,28.10,84.62,18.62, 
kmeans_800_cinza_Im054,173000,33579,416229,17192,32.28,28.53,90.96,7.47, 
kmeans_800_cinza_Im046,151148,40657,432825,15370,29.97,25.22,90.77,8.59, 
kmeans_400_rgb_Im066,55003,9763,89970,5264,40.48,36.61,91.27,9.79, 
kmeans_800_cinza_Im061,137774,50750,424458,27018,29.46,23.38,83.60,10.68, 
kmeans_800_rgb_Im076,144744,54557,311062,129637,31.14,24.72,52.75,14.92, 
kmeans_800_rgb_Im041,163530,35519,434807,6144,31.10,27.05,96.38,7.55, 
kmeans_400_rgb_Im024,25620,23210,108433,2737,30.52,18.73,90.35,17.63, 
kmeans_400_cinza_Im031,32303,11714,112457,3526,27.51,21.78,90.16,9.43, 
kmeans_400_rgb_Im079,44989,7689,97277,10045,32.92,29.54,81.75,7.33, 
kmeans_400_rgb_Im068,55396,5155,81033,18416,37.84,35.78,75.05,5.98, 
kmeans_400_rgb_Im014,30050,7806,121098,1046,23.66,19.74,96.64,6.06, 
kmeans_400_rgb_Im057,33318,7678,110291,8713,25.62,21.87,79.27,6.51, 
kmeans_400_rgb_Im080,57338,2008,97431,3223,37.09,36.29,94.68,2.02, 
kmeans_800_cinza_Im083,163610,83204,354063,39123,38.56,29.38,80.70,19.03, 
kmeans_400_rgb_Im040,32116,4904,122314,666,23.14,20.71,97.97,3.85, 
kmeans_800_cinza_Im036,160388,38253,438396,2963,31.04,26.65,98.19,8.03, 
kmeans_800_cinza_Im042,145712,49775,436284,8229,30.54,24.69,94.65,10.24, 
kmeans_800_rgb_Im068,220334,21877,325812,71977,37.85,35.65,75.38,6.29, 
kmeans_400_cinza_Im085,46455,25544,83490,4511,45.00,34.55,91.15,23.43, 
kmeans_400_cinza_Im070,36576,16442,102783,4199,33.14,25.48,89.70,13.79, 
kmeans_400_rgb_Im023,40051,7108,106064,6777,29.47,26.20,85.53,6.28, 
kmeans_800_rgb_Im042,162370,33117,437253,7260,30.54,26.75,95.72,7.04, 
kmeans_800_cinza_Im062,121388,32194,451505,34913,24.00,19.97,77.66,6.66, 
kmeans_400_cinza_Im046,37743,10193,108181,3883,29.96,25.19,90.67,8.61, 
kmeans_800_rgb_Im047,149904,54119,398978,36999,31.88,25.59,80.20,11.94, 
kmeans_800_cinza_Im080,186386,50846,395988,6780,37.07,31.64,96.49,11.38, 
kmeans_800_rgb_Im056,209212,7523,383789,39476,33.86,33.08,84.13,1.92, 
kmeans_800_cinza_Im011,122491,29195,448808,39506,23.70,20.05,75.61,6.11, 
kmeans_400_cinza_Im055,47154,6506,88825,17515,33.54,30.72,72.92,6.82, 
kmeans_400_cinza_Im075,43406,16994,76259,23341,37.75,30.35,65.03,18.22, 
kmeans_800_cinza_Im084,191313,67790,345817,35080,40.48,33.43,84.50,16.39, 
kmeans_800_cinza_Im040,115707,32463,489391,2439,23.15,19.05,97.94,6.22, 
kmeans_800_cinza_Im015,114034,49700,473984,2282,25.58,19.32,98.04,9.49, 
kmeans_800_rgb_Im036,168875,29766,438282,3077,31.04,27.67,98.21,6.36, 
kmeans_400_rgb_Im084,57046,7717,86839,8398,40.48,37.46,87.17,8.16, 
kmeans_400_cinza_Im004,49169,12782,95801,2248,38.72,33.40,95.63,11.77, 
kmeans_800_rgb_Im052,194274,51497,386541,7688,38.40,33.01,96.19,11.76, 
kmeans_400_rgb_Im076,37637,12184,77590,32589,31.14,25.46,53.59,13.57, 
kmeans_400_cinza_Im078,37710,8898,76398,36994,29.13,24.96,50.48,10.43, 
kmeans_400_rgb_Im083,57229,4489,87769,10513,38.57,36.80,84.48,4.87, 
kmeans_400_cinza_Im001,16128,28464,114459,949,27.87,12.26,94.44,19.92, 
kmeans_400_rgb_Im050,52959,5554,97816,3671,36.57,34.29,93.52,5.37, 
kmeans_800_rgb_Im040,127922,20248,489221,2609,23.15,20.64,98.00,3.97, 
kmeans_400_cinza_Im023,37695,9464,106620,6221,29.47,25.04,85.83,8.15, 
kmeans_400_cinza_Im054,43263,8404,104046,4287,32.29,28.54,90.98,7.47, 
kmeans_800_cinza_Im059,93525,102197,440389,3889,30.58,17.39,96.01,18.84, 
kmeans_400_cinza_Im014,27478,10378,121118,1026,23.66,18.36,96.40,7.89, 
kmeans_400_cinza_Im041,36525,13242,108933,1300,31.10,24.89,96.56,10.84, 
kmeans_800_rgb_Im079,178235,32466,389384,39915,32.92,29.34,81.70,7.70, 
kmeans_800_rgb_Im004,212413,35477,383156,8954,38.73,35.14,95.96,8.47, 
kmeans_400_rgb_Im082,45366,1141,64681,48812,29.07,28.56,48.17,1.73, 
kmeans_400_cinza_Im040,28902,8118,122359,621,23.14,19.03,97.90,6.22, 
kmeans_800_rgb_Im050,211617,22489,391463,14431,36.58,34.27,93.62,5.43, 
kmeans_400_cinza_Im080,45518,13828,99166,1488,37.09,31.14,96.83,12.24, 
kmeans_400_cinza_Im058,33096,16042,108202,2660,30.71,22.99,92.56,12.91, 
kmeans_800_rgb_Im078,174564,11745,281419,172272,29.11,27.79,50.33,4.01, 
kmeans_400_cinza_Im036,40086,9573,109604,737,31.04,26.65,98.19,8.03, 
kmeans_400_rgb_Im033,33488,8961,101026,16525,26.53,22.17,66.96,8.15, 
kmeans_400_cinza_Im076,34028,15793,84238,25941,31.14,23.60,56.74,15.79, 
kmeans_800_cinza_Im041,143419,55630,436209,4742,31.10,24.54,96.80,11.31, 
kmeans_800_rgb_Im059,131950,63772,438502,5776,30.58,22.90,95.81,12.70, 
kmeans_400_rgb_Im054,47942,3725,103048,5285,32.29,30.68,90.07,3.49, 
kmeans_800_rgb_Im083,230330,16484,348328,44858,38.56,36.94,83.70,4.52, 
kmeans_400_cinza_Im071,34301,15709,103767,6223,31.26,23.77,84.64,13.15, 
kmeans_800_rgb_Im032,84896,47338,392453,115313,20.66,14.32,42.40,10.76, 
kmeans_800_rgb_Im075,181311,60207,312902,85580,37.74,31.27,67.93,16.14, 
kmeans_400_cinza_Im061,34428,12700,106106,6766,29.45,23.37,83.58,10.69, 
kmeans_800_cinza_Im023,150925,37812,426488,24775,29.49,25.06,85.90,8.14, 
kmeans_400_cinza_Im082,39834,6673,75396,38097,29.07,25.98,51.11,8.13, 
kmeans_400_rgb_Im078,43222,3386,72775,40617,29.13,27.60,51.55,4.45, 
kmeans_400_cinza_Im022,36627,8860,108666,5847,28.43,24.23,86.23,7.54, 
kmeans_800_cinza_Im074,149237,81930,384277,24556,36.12,26.74,85.87,17.57, 
kmeans_800_rgb_Im055,202974,11712,355807,69507,33.54,32.31,74.49,3.19, 
kmeans_400_rgb_Im029,56181,8042,93687,2090,40.14,36.97,96.41,7.91, 
kmeans_400_rgb_Im086,53262,6368,97481,2889,37.27,34.67,94.85,6.13, 
kmeans_400_rgb_Im060,47442,1901,55074,55583,30.84,30.01,46.05,3.34, 
kmeans_800_cinza_Im008,185384,35747,396070,22799,34.55,30.68,89.05,8.28, 
kmeans_800_cinza_Im025,78825,90293,464806,6076,26.42,14.34,92.84,16.27, 
kmeans_800_rgb_Im033,135558,34271,398832,71339,26.54,22.38,65.52,7.91, 
kmeans_800_cinza_Im031,129268,46977,449836,13919,27.54,21.80,90.28,9.46, 
kmeans_800_cinza_Im082,157028,29005,309062,144905,29.07,25.70,52.01,8.58, 
kmeans_400_cinza_Im015,28498,12432,118501,569,25.58,19.31,98.04,9.49, 
kmeans_400_cinza_Im047,35136,15858,98843,10163,31.87,24.38,77.56,13.83, 
kmeans_400_cinza_Im020,41264,14774,100673,3289,35.02,28.41,92.62,12.80, 
kmeans_400_rgb_Im070,50557,2461,101584,5398,33.14,32.09,90.35,2.37, 
kmeans_400_cinza_Im084,47810,16953,86467,8770,40.48,33.42,84.50,16.39, 
kmeans_800_rgb_Im008,208458,12673,390339,28530,34.55,33.23,87.96,3.14, 
kmeans_800_rgb_Im012,176190,44464,400803,18543,34.48,29.59,90.48,9.99, 
kmeans_400_rgb_Im059,33930,15021,109524,1525,30.59,23.40,95.70,12.06, 
kmeans_800_rgb_Im080,228536,8696,390157,12611,37.07,36.20,94.77,2.18, 
kmeans_400_cinza_Im079,41961,10717,97542,9780,32.92,28.11,81.10,9.90, 
kmeans_800_cinza_Im077,225029,69067,334140,11764,45.95,39.41,95.03,17.13, 
kmeans_800_cinza_Im020,165101,59015,402613,13271,35.02,28.42,92.56,12.78, 
kmeans_800_rgb_Im011,130135,21551,448559,39755,23.70,21.04,76.60,4.58, 
kmeans_400_rgb_Im012,45341,9840,99689,5130,34.49,30.20,89.84,8.98, 
kmeans_800_cinza_Im085,185826,102152,334068,17954,45.00,34.55,91.19,23.42, 
kmeans_800_cinza_Im079,168004,42697,390048,39251,32.92,28.13,81.06,9.87, 
kmeans_800_rgb_Im057,134281,29679,440658,35382,25.62,22.00,79.15,6.31, 
kmeans_400_rgb_Im006,51294,14078,88713,5915,40.86,35.15,89.66,13.70, 
kmeans_400_cinza_Im062,30412,7995,112863,8730,24.00,20.01,77.70,6.62, 
kmeans_400_rgb_Im077,69534,3982,81807,4677,45.95,44.57,93.70,4.64, 
kmeans_800_cinza_Im001,64535,113849,457830,3786,27.87,12.27,94.46,19.91, 
kmeans_400_rgb_Im028,53178,5865,99381,1576,36.90,34.50,97.12,5.57, 
kmeans_400_rgb_Im056,52383,1888,95965,9764,33.92,33.13,84.29,1.93, 
kmeans_400_cinza_Im012,35648,19533,100870,3949,34.49,25.38,90.03,16.22, 
kmeans_800_cinza_Im003,176613,38838,407601,16948,33.66,29.38,91.24,8.70, 
kmeans_400_rgb_Im026,44586,12605,78281,24528,35.74,30.25,64.51,13.87, 
kmeans_800_rgb_Im072,163547,8876,352043,115534,26.94,25.91,58.60,2.46, 
kmeans_800_cinza_Im066,170596,88387,365287,15730,40.47,30.93,91.56,19.48, 
kmeans_800_cinza_Im081,190465,54300,388267,6968,38.24,32.52,96.47,12.27, 
kmeans_800_rgb_Im067,218455,34735,367125,19685,39.56,36.09,91.73,8.64, 
kmeans_800_rgb_Im063,125517,24507,467524,22452,23.44,20.39,84.83,4.98, 
kmeans_400_rgb_Im072,41176,1930,85671,31223,26.94,26.05,56.87,2.20, 
kmeans_800_cinza_Im012,129214,91440,407001,12345,34.48,23.56,91.28,18.35, 
kmeans_400_rgb_Im067,55030,8285,91671,5014,39.57,36.27,91.65,8.29, 
kmeans_400_cinza_Im025,19728,22572,116182,1518,26.44,14.36,92.86,16.27, 
kmeans_800_cinza_Im055,186499,28187,357957,67357,33.54,30.48,73.47,7.30, 
kmeans_800_cinza_Im058,132366,64180,432864,10590,30.71,22.99,92.59,12.91, 
kmeans_400_rgb_Im037,40291,7982,109862,1865,30.17,26.50,95.58,6.77, 
kmeans_400_rgb_Im061,41840,5288,105484,7388,29.45,27.04,84.99,4.77, 
kmeans_400_cinza_Im011,30611,7321,112201,9867,23.71,20.05,75.62,6.13, 
kmeans_400_rgb_Im074,40438,17378,96042,6142,36.13,28.35,86.81,15.32, 
kmeans_800_rgb_Im061,167291,21233,422000,29476,29.46,27.04,85.02,4.79, 
kmeans_400_cinza_Im032,16906,16153,106012,20929,20.66,11.75,44.68,13.22, 
kmeans_800_cinza_Im033,128442,41387,404221,65950,26.54,21.46,66.07,9.29, 
kmeans_800_cinza_Im004,196669,51221,383194,8916,38.73,33.40,95.66,11.79, 
kmeans_800_cinza_Im032,74908,57326,404554,103212,20.66,12.86,42.05,12.41, 
kmeans_400_cinza_Im057,29844,11152,109969,9035,25.62,20.05,76.76,9.21, 
kmeans_400_rgb_Im011,32803,5129,111132,10936,23.71,21.18,75.00,4.41, 
kmeans_400_rgb_Im042,40635,8231,109350,1784,30.54,26.77,95.79,7.00, 
kmeans_400_rgb_Im055,50755,2905,88930,17410,33.54,32.31,74.46,3.16, 
kmeans_400_rgb_Im019,47801,4478,104300,3421,32.67,30.74,93.32,4.12, 
kmeans_800_cinza_Im078,152824,33485,295181,158510,29.11,25.20,49.09,10.19, 
kmeans_800_cinza_Im072,111970,60453,353199,114378,26.94,19.32,49.47,14.61, 
kmeans_800_rgb_Im006,203913,57671,355179,23237,40.87,35.02,89.77,13.97, 
kmeans_400_cinza_Im063,28441,9068,116691,5800,23.44,18.84,83.06,7.21, 
kmeans_800_rgb_Im037,161943,31225,439256,7576,30.18,26.60,95.53,6.64, 
kmeans_800_cinza_Im026,165490,63298,317113,94099,35.75,28.70,63.75,16.64, 
kmeans_800_cinza_Im060,163584,33695,313296,129425,30.82,26.98,55.83,9.71, 
kmeans_800_cinza_Im068,166083,76128,337072,60717,37.85,29.45,73.23,18.42, 
kmeans_400_rgb_Im003,46827,7042,101718,4413,33.67,30.61,91.39,6.47, 
kmeans_800_rgb_Im058,162973,33573,431748,11706,30.71,26.87,93.30,7.22, 
kmeans_800_cinza_Im037,145877,47291,440544,6288,30.18,24.61,95.87,9.69, 
kmeans_400_cinza_Im008,46369,8944,99002,5685,34.57,30.70,89.08,8.29, 
kmeans_800_rgb_Im024,103196,92021,433633,11150,30.50,18.83,90.25,17.51, 
kmeans_800_cinza_Im019,167764,41456,417825,12955,32.69,28.03,92.83,9.03, 
kmeans_800_cinza_Im022,146484,35467,434720,23329,28.43,24.23,86.26,7.54, 
kmeans_800_rgb_Im026,178715,50073,312204,99008,35.75,30.29,64.35,13.82, 
kmeans_800_rgb_Im071,192058,7928,407878,32136,31.25,30.39,85.67,1.91, 
kmeans_400_cinza_Im059,24774,24177,110007,1042,30.59,18.24,95.96,18.02, 
kmeans_400_cinza_Im042,36419,12447,109064,2070,30.54,24.68,94.62,10.24, 
kmeans_400_rgb_Im063,30946,6563,117370,5121,23.44,20.17,85.80,5.30, 
kmeans_800_rgb_Im023,160413,28324,424066,27197,29.49,26.23,85.50,6.26, 
kmeans_800_rgb_Im020,175865,48251,403434,12450,35.02,29.72,93.39,10.68, 
kmeans_400_rgb_Im036,42060,7599,109581,760,31.04,27.60,98.23,6.48, 
kmeans_800_cinza_Im024,98371,96846,433438,11345,30.50,18.11,89.66,18.26, 
kmeans_800_cinza_Im086,148636,90083,390612,10669,37.30,27.03,93.30,18.74, 
kmeans_400_cinza_Im086,37204,22426,97654,2716,37.27,27.04,93.20,18.68, 
kmeans_800_cinza_Im056,194014,22721,388122,35143,33.86,31.43,84.66,5.53, 
kmeans_800_cinza_Im070,142982,69105,414783,13130,33.14,25.05,91.59,14.28, 
kmeans_800_cinza_Im057,119344,44616,439930,36110,25.62,20.04,76.77,9.21, 
kmeans_400_rgb_Im052,48529,12903,96653,1915,38.40,32.99,96.20,11.78, 
kmeans_400_rgb_Im081,58546,2625,95569,3260,38.23,37.20,94.73,2.67, 
kmeans_800_cinza_Im076,136207,63094,337009,103690,31.14,23.61,56.78,15.77, 
kmeans_400_cinza_Im024,24601,24229,108340,2830,30.52,18.12,89.68,18.28, 
kmeans_800_rgb_Im060,193292,3987,191085,251636,30.82,30.39,43.44,2.04, 
kmeans_800_rgb_Im031,141803,34442,450466,13289,27.54,23.42,91.43,7.10, 
kmeans_800_cinza_Im071,134009,65977,418627,21387,31.25,23.35,86.24,13.61, 
kmeans_400_rgb_Im071,47891,2119,102093,7897,31.26,30.33,85.84,2.03, 
kmeans_400_rgb_Im046,44861,3075,107361,4703,29.96,28.59,90.51,2.78, 
kmeans_400_cinza_Im003,44919,8950,101649,4482,33.67,29.74,90.93,8.09, 
kmeans_800_cinza_Im075,173464,68054,305105,93377,37.74,30.33,65.01,18.24, 
kmeans_800_rgb_Im015,126431,37303,473982,2284,25.58,20.98,98.23,7.30, 
kmeans_800_rgb_Im046,179202,12603,429355,18840,29.97,28.56,90.49,2.85, 
kmeans_400_rgb_Im020,44624,11414,100566,3396,35.02,30.03,92.93,10.19, 
kmeans_800_rgb_Im027,178946,62028,367684,31342,37.65,30.96,85.10,14.43, 
kmeans_400_rgb_Im047,37991,13003,99353,9653,31.87,25.84,79.74,11.57, 
kmeans_400_cinza_Im077,56247,17269,83529,2955,45.95,39.41,95.01,17.13, 
kmeans_400_cinza_Im006,36560,28812,89362,5266,40.86,27.87,87.41,24.38, 
kmeans_400_cinza_Im026,40276,16915,81794,21015,35.74,28.15,65.71,17.14, 
kmeans_400_cinza_Im033,32092,10357,101072,16479,26.53,21.45,66.07,9.29, 
kmeans_400_cinza_Im050,47054,11459,99238,2249,36.57,31.68,95.44,10.35, 
kmeans_400_cinza_Im052,44705,16727,96733,1835,38.40,31.20,96.06,14.74, 
kmeans_400_rgb_Im031,35658,8359,112484,3499,27.51,23.51,91.06,6.92, 
kmeans_800_rgb_Im054,191944,14635,411802,21619,32.28,30.69,89.88,3.43, 
kmeans_800_rgb_Im029,224777,32298,374647,8278,40.17,36.99,96.45,7.94, 
kmeans_800_rgb_Im028,212679,23569,397464,6288,36.91,34.50,97.13,5.60, 
kmeans_800_cinza_Im052,178912,66859,386910,7319,38.40,31.22,96.07,14.73, 
kmeans_400_rgb_Im058,40307,8831,108047,2815,30.71,26.66,93.47,7.56, 
kmeans_400_cinza_Im067,47476,15839,92114,4571,39.57,32.93,91.22,14.67, 
kmeans_800_rgb_Im084,228135,30968,345594,35303,40.48,37.46,86.60,8.22, 
kmeans_800_rgb_Im070,201786,10301,406630,21283,33.14,32.04,90.46,2.47, 
kmeans_800_cinza_Im047,140372,63651,395491,40486,31.88,24.36,77.61,13.86, 
kmeans_800_rgb_Im025,87471,81647,463799,7083,26.42,15.67,92.51,14.97, 
kmeans_400_rgb_Im032,20399,12660,100282,26659,20.66,13.84,43.35,11.21, 
kmeans_400_cinza_Im029,48487,15736,94209,1568,40.14,33.61,96.87,14.31, 
kmeans_400_rgb_Im001,37875,6717,111696,3712,27.87,24.71,91.07,5.67, 
kmeans_400_rgb_Im041,41383,8384,108605,1628,31.10,27.29,96.21,7.17, 
kmeans_400_cinza_Im081,47618,13553,97080,1749,38.23,32.52,96.46,12.25, 
kmeans_400_rgb_Im062,32320,6087,111979,9614,24.00,21.00,77.07,5.16, 
kmeans_800_cinza_Im050,188184,45922,396872,9022,36.58,31.68,95.43,10.37, 
kmeans_800_rgb_Im085,248814,39164,329848,22174,45.00,41.41,91.82,10.61, 
kmeans_800_rgb_Im082,183300,2733,247624,206343,29.07,28.76,47.04,1.09, 
kmeans_400_cinza_Im060,39268,10075,83108,27549,30.84,26.19,58.77,10.81, 
kmeans_400_rgb_Im015,31160,9770,118501,569,25.58,20.74,98.21,7.62, 
kmeans_400_cinza_Im068,41494,19057,84271,15178,37.84,29.44,73.22,18.44, 
kmeans_800_rgb_Im077,278127,15969,327107,18797,45.95,44.57,93.67,4.65, 
kmeans_800_rgb_Im022,154656,27295,435699,22350,28.43,25.24,87.37,5.90, 
kmeans_400_rgb_Im075,45945,14455,77174,22426,37.75,31.57,67.20,15.78, 
kmeans_800_rgb_Im081,234260,10505,382254,12981,38.24,37.21,94.75,2.67, 
kmeans_800_cinza_Im028,186050,50198,398983,4769,36.91,31.54,97.50,11.18, 
kmeans_800_rgb_Im086,213100,25619,389908,11373,37.30,34.69,94.93,6.17, 
kmeans_800_cinza_Im027,156058,84916,370816,28210,37.65,28.11,84.69,18.63, 
kmeans_400_cinza_Im028,45682,13361,99816,1141,36.90,31.15,97.56,11.81, 
kmeans_800_rgb_Im074,161614,69553,384012,24821,36.12,28.33,86.69,15.33, 
kmeans_800_cinza_Im063,113740,36284,466723,23253,23.44,18.84,83.03,7.21, 
kmeans_800_rgb_Im014,120289,31144,484330,4237,23.66,19.76,96.60,6.04, 
kmeans_400_rgb_Im085,63285,8714,81988,6013,45.00,41.83,91.32,9.61, 
kmeans_800_rgb_Im001,151684,26700,446682,14934,27.87,24.73,91.04,5.64, 
kmeans_400_cinza_Im074,37317,20499,96135,6049,36.13,26.75,86.05,17.58, 
kmeans_400_rgb_Im008,52138,3175,97572,7115,34.57,33.25,87.99,3.15, 
kmeans_800_rgb_Im066,217906,41077,360028,20989,40.47,36.38,91.21,10.24, 
kmeans_400_cinza_Im056,48581,5690,96980,8749,33.92,31.48,84.74,5.54, 
VP total = 24570402 
VN total = 6725042 
FP total = 59370447 
FN total = 59370447 
Acurácia total = 32.60 
Sobreposição total = 27.46 
Sensibilidade total = 84.55 
Especificidade total = 9.97 
